"key","en","es","nl","fr"
about:about_text,"This portal centralises all building information for property owners at Mirador del Mar in Palomares.","Este portal reúne toda la información sobre el edificio destinada a los propietarios de Mirador del Mar, en Palomares.","Via dit portaal hebben eigenaren van woningen in Mirador del Mar in Palomares toegang tot alle gebouwinformatie op één plek.","Ce portail regroupe toutes les informations relatives aux immeubles destinées aux propriétaires du Mirador del Mar à Palomares."
about:about_title,"About Mirador del Mar","Acerca de Mirador del Mar","Over Mirador del Mar","À propos de Mirador del Mar"
about:nav_about,"About","Acerca de","Over","À propos"
about:nav_contacts,"Contacts","Contactos","Contactpersonen","Contacts"
about:nav_documents,"Documents","Documentos","Documenten","Documents"
about:nav_electricity,"Electricity","Electricidad","Elektriciteit","Électricité"
about:nav_elevator,"Elevator","Ascensor","Lift","Ascenseur"
about:nav_emergency,"Emergency","Emergencia","Noodsituatie","Urgence"
about:nav_garage,"Garage & Gate","Garaje y puerta","Garage &amp; Poort","Garage et portail"
about:nav_garden,"Garden & Irrigation","Jardinería y riego","Tuin &amp; Irrigatie","Jardin et arrosage"
about:nav_home,"Home","Inicio","Home","Accueil"
about:nav_insurance,"Insurance","Seguros","Verzekering","Assurance"
about:nav_internet,"Internet","Internet","Internet","Internet"
about:nav_keys,"Technical Room Keys","Claves técnicas de la sala","Sleutels voor technische ruimtes","Clés des locaux techniques"
about:nav_maintenance,"Maintenance","Mantenimiento","Onderhoud","Maintenance"
about:nav_water,"Water","Agua","Water","Eau"
about:title,"Mirador del Mar – Palomares","Mirador del Mar – Palomares","Mirador del Mar – Palomares","Mirador del Mar – Palomares"
contacts:contacts_admin_email_label,"Email:","Correo electrónico:","E-mail:","E-mail :"
contacts:contacts_admin_name,"Aguamarina Fincas Administracion","Aguamarina Fincas Administración","Aguamarina Fincas Administracion","Aguamarina Fincas Administration"
contacts:contacts_admin_phone_label,"Phone:","Teléfono:","Telefoon:","Téléphone :"
contacts:contacts_admin_region,"Levante Almeriense (Palomares, Vera, Garrucha, Mojácar)","Levante Almeriense (Palomares, Vera, Garrucha, Mojácar)","Levante Almeriense (Palomares, Vera, Garrucha, Mojácar)","Levante Almeriense (Palomares, Vera, Garrucha, Mojácar)"
contacts:contacts_admin_region_label,"Service Region:","Área de cobertura:","Servicegebied:","Zone d&#x27;intervention :"
contacts:contacts_admin_section_title,"1. Property Administration","1. Administración de inmuebles","1. Vastgoedbeheer","1. Gestion immobilière"
contacts:contacts_keyholders_section_title,"2. On-Site Key Holders & Management","2. Responsables de las llaves y gestión in situ","2. Sleutelbeheerders en beheer ter plaatse","2. Responsables des clés et gestion sur site"
contacts:contacts_subtitle,"Professional administration, key holders, and local emergency contacts.","Administración profesional, personas encargadas de las llaves y contactos locales para emergencias.","Professioneel beheer, sleutelbeheerders en lokale contactpersonen voor noodgevallen.","Administration professionnelle, personnes chargées des clés et contacts d&#x27;urgence locaux."
contacts:contacts_title,"Important Contacts","Contactos importantes","Belangrijke contactpersonen","Contacts importants"
contacts:keys_manager_contact_francisca,"Key Holder All Rooms/ All Cabinets (App 3A/4A - Francisca): +34 677 549 202 (WhatsApp only)","Responsable de las llaves de todas las habitaciones y todos los armarios (App 3A/4A - Francisca): +34 677 549 202 (solo WhatsApp)","Sleutelbeheerder alle kamers/alle kasten (App 3A/4A - Francisca): +34 677 549 202 (alleen via WhatsApp)","Responsable des clés de toutes les chambres et de toutes les armoires (App. 3A/4A - Francisca) : +34 677 549 202 (WhatsApp uniquement)"
contacts:keys_manager_contact_rudi,"Key Holder Telecom Room(App 3B - Rudi): +32 488 421 402","Responsable de las llaves de la sala de telecomunicaciones (Anexo 3B - Rudi): +32 488 421 402","Contactpersoon telecomruimte (App 3B - Rudi): +32 488 421 402","Responsable des clés de la salle des télécommunications (App 3B - Rudi) : +32 488 421 402"
contacts:nav_about,"About","Acerca de","Over","À propos"
contacts:nav_contacts,"Contacts","Contactos","Contactpersonen","Contacts"
contacts:nav_documents,"Documents","Documentos","Documenten","Documents"
contacts:nav_electricity,"Electricity","Electricidad","Elektriciteit","Électricité"
contacts:nav_elevator,"Elevator","Ascensor","Lift","Ascenseur"
contacts:nav_emergency,"Emergency","Emergencia","Noodsituatie","Urgence"
contacts:nav_garage,"Garage & Gate","Garaje y puerta","Garage &amp; Poort","Garage et portail"
contacts:nav_garden,"Garden & Irrigation","Jardinería y riego","Tuin &amp; Irrigatie","Jardin et arrosage"
contacts:nav_home,"Home","Inicio","Home","Accueil"
